track_id,source_dataset,audio_path,raw_audio_path,duration_sec,sample_rate,label_path,label_hz,label_start_sec,label_end_sec,structure_path,structure_version,split,license_status,quality_status,exclude_reason,structure_start_sec,structure_end_sec,structure_segment_count
deam_0076,DEAM,data/audio_wav/deam_0076.wav,data/DEAM_audio/76.mp3,45.035,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0076.json,allin1-commit-18e78903-model-harmonix-all,test,unknown,ok,,0.0,45.04,4
deam_0077,DEAM,data/audio_wav/deam_0077.wav,data/DEAM_audio/77.mp3,45.035,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0077.json,allin1-commit-18e78903-model-harmonix-all,test,unknown,ok,,0.0,45.04,4
deam_0078,DEAM,data/audio_wav/deam_0078.wav,data/DEAM_audio/78.mp3,45.035,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0078.json,allin1-commit-18e78903-model-harmonix-all,train,unknown,ok,,0.0,45.04,3
deam_0079,DEAM,data/audio_wav/deam_0079.wav,data/DEAM_audio/79.mp3,45.035,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0079.json,allin1-commit-18e78903-model-harmonix-all,train,unknown,ok,,0.0,45.04,4
deam_0080,DEAM,data/audio_wav/deam_0080.wav,data/DEAM_audio/80.mp3,45.061,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0080.json,allin1-commit-18e78903-model-harmonix-all,train,unknown,ok,,0.0,45.07,3
deam_0081,DEAM,data/audio_wav/deam_0081.wav,data/DEAM_audio/81.mp3,45.035,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0081.json,allin1-commit-18e78903-model-harmonix-all,test,unknown,ok,,0.0,45.04,4
deam_0082,DEAM,data/audio_wav/deam_0082.wav,data/DEAM_audio/82.mp3,45.035,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0082.json,allin1-commit-18e78903-model-harmonix-all,val,unknown,ok,,0.0,45.04,4
deam_0083,DEAM,data/audio_wav/deam_0083.wav,data/DEAM_audio/83.mp3,45.035,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0083.json,allin1-commit-18e78903-model-harmonix-all,val,unknown,ok,,0.0,45.04,4
deam_0084,DEAM,data/audio_wav/deam_0084.wav,data/DEAM_audio/84.mp3,45.061,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0084.json,allin1-commit-18e78903-model-harmonix-all,train,unknown,ok,,0.0,45.07,4
deam_0085,DEAM,data/audio_wav/deam_0085.wav,data/DEAM_audio/85.mp3,45.035,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0085.json,allin1-commit-18e78903-model-harmonix-all,train,unknown,ok,,0.0,45.04,4
deam_0086,DEAM,data/audio_wav/deam_0086.wav,data/DEAM_audio/86.mp3,45.061,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0086.json,allin1-commit-18e78903-model-harmonix-all,train,unknown,ok,,0.0,45.07,3
deam_0087,DEAM,data/audio_wav/deam_0087.wav,data/DEAM_audio/87.mp3,45.061,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0087.json,allin1-commit-18e78903-model-harmonix-all,train,unknown,ok,,0.0,45.07,4
deam_0088,DEAM,data/audio_wav/deam_0088.wav,data/DEAM_audio/88.mp3,45.035,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0088.json,allin1-commit-18e78903-model-harmonix-all,val,unknown,ok,,0.0,45.04,4
deam_0089,DEAM,data/audio_wav/deam_0089.wav,data/DEAM_audio/89.mp3,45.061,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0089.json,allin1-commit-18e78903-model-harmonix-all,train,unknown,ok,,0.0,45.07,5
deam_0090,DEAM,data/audio_wav/deam_0090.wav,data/DEAM_audio/90.mp3,45.061,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0090.json,allin1-commit-18e78903-model-harmonix-all,train,unknown,ok,,0.0,45.07,4
deam_0091,DEAM,data/audio_wav/deam_0091.wav,data/DEAM_audio/91.mp3,45.061,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0091.json,allin1-commit-18e78903-model-harmonix-all,train,unknown,ok,,0.0,45.07,4
deam_0092,DEAM,data/audio_wav/deam_0092.wav,data/DEAM_audio/92.mp3,45.061,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0092.json,allin1-commit-18e78903-model-harmonix-all,train,unknown,ok,,0.0,45.07,4
deam_0093,DEAM,data/audio_wav/deam_0093.wav,data/DEAM_audio/93.mp3,45.048,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0093.json,allin1-commit-18e78903-model-harmonix-all,train,unknown,ok,,0.0,45.05,5
deam_0095,DEAM,data/audio_wav/deam_0095.wav,data/DEAM_audio/95.mp3,45.061,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0095.json,allin1-commit-18e78903-model-harmonix-all,train,unknown,ok,,0.0,45.07,4
deam_0096,DEAM,data/audio_wav/deam_0096.wav,data/DEAM_audio/96.mp3,45.048,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0096.json,allin1-commit-18e78903-model-harmonix-all,val,unknown,ok,,0.0,45.05,4
deam_0098,DEAM,data/audio_wav/deam_0098.wav,data/DEAM_audio/98.mp3,45.061,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0098.json,allin1-commit-18e78903-model-harmonix-all,test,unknown,ok,,0.0,45.07,4
deam_0099,DEAM,data/audio_wav/deam_0099.wav,data/DEAM_audio/99.mp3,45.035,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0099.json,allin1-commit-18e78903-model-harmonix-all,train,unknown,ok,,0.0,45.04,3
deam_0101,DEAM,data/audio_wav/deam_0101.wav,data/DEAM_audio/101.mp3,45.061,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0101.json,allin1-commit-18e78903-model-harmonix-all,train,unknown,ok,,0.0,45.07,4
deam_0102,DEAM,data/audio_wav/deam_0102.wav,data/DEAM_audio/102.mp3,45.061,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0102.json,allin1-commit-18e78903-model-harmonix-all,train,unknown,ok,,0.0,45.07,4
deam_0103,DEAM,data/audio_wav/deam_0103.wav,data/DEAM_audio/103.mp3,45.061,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0103.json,allin1-commit-18e78903-model-harmonix-all,val,unknown,ok,,0.0,45.07,3
deam_0104,DEAM,data/audio_wav/deam_0104.wav,data/DEAM_audio/104.mp3,45.061,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0104.json,allin1-commit-18e78903-model-harmonix-all,train,unknown,ok,,0.0,45.07,4
deam_0105,DEAM,data/audio_wav/deam_0105.wav,data/DEAM_audio/105.mp3,45.061,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0105.json,allin1-commit-18e78903-model-harmonix-all,train,unknown,ok,,0.0,45.07,5
deam_0106,DEAM,data/audio_wav/deam_0106.wav,data/DEAM_audio/106.mp3,45.035,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0106.json,allin1-commit-18e78903-model-harmonix-all,train,unknown,ok,,0.0,45.04,4
deam_0107,DEAM,data/audio_wav/deam_0107.wav,data/DEAM_audio/107.mp3,45.035,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0107.json,allin1-commit-18e78903-model-harmonix-all,train,unknown,ok,,0.0,45.04,4
deam_0108,DEAM,data/audio_wav/deam_0108.wav,data/DEAM_audio/108.mp3,45.048,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0108.json,allin1-commit-18e78903-model-harmonix-all,train,unknown,ok,,0.0,45.05,3
deam_0109,DEAM,data/audio_wav/deam_0109.wav,data/DEAM_audio/109.mp3,45.035,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0109.json,allin1-commit-18e78903-model-harmonix-all,train,unknown,ok,,0.0,45.04,4
deam_0110,DEAM,data/audio_wav/deam_0110.wav,data/DEAM_audio/110.mp3,45.035,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0110.json,allin1-commit-18e78903-model-harmonix-all,train,unknown,ok,,0.0,45.04,4
deam_0111,DEAM,data/audio_wav/deam_0111.wav,data/DEAM_audio/111.mp3,45.035,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0111.json,allin1-commit-18e78903-model-harmonix-all,test,unknown,ok,,0.0,45.04,4
deam_0112,DEAM,data/audio_wav/deam_0112.wav,data/DEAM_audio/112.mp3,45.035,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0112.json,allin1-commit-18e78903-model-harmonix-all,train,unknown,ok,,0.0,45.04,4
deam_0113,DEAM,data/audio_wav/deam_0113.wav,data/DEAM_audio/113.mp3,45.035,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0113.json,allin1-commit-18e78903-model-harmonix-all,train,unknown,ok,,0.0,45.04,4
deam_0114,DEAM,data/audio_wav/deam_0114.wav,data/DEAM_audio/114.mp3,45.035,16000,data/labels_1hz,1.0,15.5,625.5,data/structure_allin1/deam_0114.json,allin1-commit-18e78903-model-harmonix-all,val,unknown,ok,,0.0,45.04,4
