track_id,audio_path,structure_path,structure_version,structure_start_sec,structure_end_sec,structure_segment_count,bpm,analysis_utc
deam_0076,data/audio_wav/deam_0076.wav,data/structure_allin1/deam_0076.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,97,2026-09-11T01:31:35.110335+00:00
deam_0077,data/audio_wav/deam_0077.wav,data/structure_allin1/deam_0077.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,120,2026-09-11T01:31:35.110522+00:00
deam_0078,data/audio_wav/deam_0078.wav,data/structure_allin1/deam_0078.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,3,65,2026-09-11T01:31:35.110677+00:00
deam_0079,data/audio_wav/deam_0079.wav,data/structure_allin1/deam_0079.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,150,2026-09-11T01:31:35.110805+00:00
deam_0080,data/audio_wav/deam_0080.wav,data/structure_allin1/deam_0080.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,3,83,2026-09-11T01:31:35.110947+00:00
deam_0081,data/audio_wav/deam_0081.wav,data/structure_allin1/deam_0081.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,120,2026-09-11T01:31:35.111076+00:00
deam_0082,data/audio_wav/deam_0082.wav,data/structure_allin1/deam_0082.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,194,2026-09-11T01:31:35.111208+00:00
deam_0083,data/audio_wav/deam_0083.wav,data/structure_allin1/deam_0083.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,130,2026-09-11T01:31:35.111356+00:00
deam_0084,data/audio_wav/deam_0084.wav,data/structure_allin1/deam_0084.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,167,2026-09-11T01:31:35.111490+00:00
deam_0085,data/audio_wav/deam_0085.wav,data/structure_allin1/deam_0085.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,81,2026-09-11T01:31:35.111624+00:00
deam_0086,data/audio_wav/deam_0086.wav,data/structure_allin1/deam_0086.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,3,98,2026-09-11T01:31:35.111747+00:00
deam_0087,data/audio_wav/deam_0087.wav,data/structure_allin1/deam_0087.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,95,2026-09-11T01:31:35.111873+00:00
deam_0088,data/audio_wav/deam_0088.wav,data/structure_allin1/deam_0088.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,130,2026-09-11T01:31:35.111998+00:00
deam_0089,data/audio_wav/deam_0089.wav,data/structure_allin1/deam_0089.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,5,85,2026-09-11T01:31:35.112143+00:00
deam_0090,data/audio_wav/deam_0090.wav,data/structure_allin1/deam_0090.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,97,2026-09-11T01:31:35.112269+00:00
deam_0091,data/audio_wav/deam_0091.wav,data/structure_allin1/deam_0091.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,118,2026-09-11T01:31:35.112392+00:00
