split,model,valence_ccc_mean,arousal_ccc_mean,ccc_mean_mean,valence_mae_mean,arousal_mae_mean,mae_mean_mean,valence_rmse_mean,arousal_rmse_mean,rmse_mean_mean,valence_ccc_std,arousal_ccc_std,ccc_mean_std,valence_mae_std,arousal_mae_std,mae_mean_std,valence_rmse_std,arousal_rmse_std,rmse_mean_std
val,b0,2.999395919707071e-15,5.008266948273437e-15,4.003831433990254e-15,0.16889828689877065,0.22440925901455264,0.19665377295666164,0.1739027066336524,0.23216773221088993,0.20303521942227118,,,,,,,,,
val,b1,0.014422089257027195,0.0934139339407275,0.05391801159887735,0.15033001190311807,0.1694868027523,0.15990840732770903,0.16359368819863565,0.1850697985820232,0.17433174339032942,0.012315067607857279,0.012965478562761555,0.0023765182907622335,0.010062202273469273,0.0024405567510319124,0.0038155583018280453,0.00976503251382977,0.0014453340607714013,0.004269314439778388
val,b2,0.09857877206385275,0.14926383969335197,0.12392130587860235,0.11847853851855121,0.17721387902174587,0.14784620877014854,0.1296127387672983,0.18908314306729582,0.15934794091729707,0.029307071319234806,0.016950265805205332,0.019643341183322113,0.013385876135065112,0.01079802563957048,0.0027914832237845313,0.012446144819682658,0.011288161017867535,0.00269499111471093
val,b3,0.0944129806049664,0.12662684452934822,0.11051991256715732,0.13784851498341047,0.17654459975579737,0.15719655736960392,0.1509816343345309,0.18773027317177862,0.16935595375315474,0.017456128196490166,0.02278153942687776,0.01320064840288872,0.025357662115421384,0.02396230082970538,0.017500045367482776,0.023538837765475332,0.024860391311966712,0.01677655127279495
val,s1,0.05505724770601548,0.10819623767215537,0.08162674268908543,0.13664593012823215,0.17355942079216566,0.15510267546019887,0.14538604259410853,0.18644905466866749,0.165917548631388,0.02200718989200779,0.003820782694432396,0.009582346125348825,0.01757515829787571,0.0428264924373985,0.03014694285152884,0.016567230676544285,0.04285118604075114,0.029644263195695686
test,b0,2.8535847720028196e-16,-7.326460916648084e-15,-3.5205512197239016e-15,0.2527578971038262,0.23762907336155573,0.24519348523269097,0.2575904940565427,0.24154112053414187,0.24956580729534228,,,,,,,,,
test,b1,0.019496009577091578,0.03412757073658415,0.026811790156837864,0.24101089793774813,0.1763307413707177,0.20867081965423293,0.2514094135827489,0.1902599008960856,0.22083465723941723,0.012226014691275511,0.009150627400642807,0.003052349452264159,0.009512206728725494,0.008268515161360098,0.00306479703548727,0.010213972942666513,0.007673333005256083,0.0020409569604734785
test,b2,0.02313688785717305,0.03189070810460382,0.027513797980888436,0.21568120469649635,0.175593018428319,0.19563711156240768,0.22677375475565595,0.1882226557781299,0.20749820526689292,0.015849148235133215,0.01537113960787957,0.008627047100901073,0.01388714955044354,0.0010692231666038473,0.006521558826591192,0.013955816254090855,0.0033355967513321086,0.0057657905655636495
test,b3,0.02350163997095175,-0.015016274314186577,0.004242682828382587,0.25711997523903846,0.1764532314406501,0.21678660333984426,0.26676419985791044,0.18967224264310464,0.22821822125050759,0.020032391317565477,0.01165945525567524,0.013274955161008474,0.022615338428333076,0.014077729079746122,0.015760066973261794,0.02247417631333396,0.016326653611066905,0.016739145439007386
test,s1,0.02616646043396839,0.0280011059848928,0.027083783209430598,0.2369832032877538,0.18203373278180757,0.20950846803478065,0.2434574565332797,0.19290603722135224,0.21818174687731595,0.020330242923882257,0.019094315811425292,0.01890559885552816,0.0339180011833168,0.015186746279834391,0.019118086312533627,0.033527218014540755,0.01613152067744167,0.01974531403201724
